stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0,1.28,0.32,0,1.28,0.64,0.32,0.32,0.64,0.64,0,0,0,0.32,24,8.64,0.32
22Month,0,1.09,0,1.09,2.19,0,0,0,0,0,0,0.55,0.55,0.55,10.39,0,0
