stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,12.26,0,0,0,0,4.09,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,3.21,0,0,0,0,0,0,0,0,0,8.56,14.98,0,1.07,0,3.21,1.07,0,2.14,0,0,0,0
21Day,1.34,1.34,1.34,0,4.02,0,0,0,0,0,9.37,0,0,2.68,4.02,28.11,0,0,1.34,2.68,0,0,2.68,2.68,0,0,0
3Month,0,5.76,0,0.64,0.64,0.32,0.32,0.96,3.2,0.96,0.32,0.96,0.32,0.64,3.2,14.72,0.96,0,0.64,0.32,0,0,0.64,1.28,5.12,0.96,0.64
22Month,0,0.55,0,0.55,1.64,0,0,1.64,12.03,4.92,0.55,1.09,0.55,0,6.56,10.93,0,0.55,0.55,0,0,0.55,0,0.55,13.67,0,1.09
