stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,2.14,0,1.07,5.35,0,0,0,3.21,0,0
21Day,0,0,6.69,0,2.68,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,1.34,0,1.34,0,0,4.02,1.34,0,0,2.68,0,0
3Month,0,8.32,19.52,0.32,0,0.32,0.32,2.24,0,4.8,0.96,0.96,1.92,3.2,2.88,3.52,10.24,0.96,0,0,1.28,4.8,0.32,1.28,1.28,0.32,1.28,0,0.32,6.08,1.28
22Month,1.09,8.75,20.77,0,0,0,1.09,7.11,1.09,14.21,1.09,5.47,2.73,1.09,0,4.37,9.84,1.09,1.09,0,0,3.83,0,2.19,0.55,0,0,0.55,1.64,2.19,2.19
