stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,16.35,0,0,0,0,0,0,0,0,93.99,0,0,12.26,192.06,20.43,0,0,4.09,0
72hpf,5.35,4.28,7.49,2.14,3.21,0,0,0,0,25.67,0,130.51,0,0,7.49,18.19,84.51,0,1.07,2.14,0
21Day,4.02,2.68,13.39,2.68,5.35,0,0,0,1.34,2.68,1.34,100.39,0,8.03,8.03,9.37,87,5.35,1.34,1.34,1.34
3Month,0,0,1.6,0,0,0,0,0.64,0.32,0,0,2.56,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0.55,1.64,3.28,0,0,0,3.28,1.09,0,0,0,0,0,0,0,0
