stage,Endothelial_cell,Enterocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Spermatocyte
24hpf,4.09,0,0,0,0,4.09,0,0,4.09,0,0,4.09,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,2.14,0,1.07,0,0,7.49,0
21Day,0,0,0,0,0,0,0,0,4.02,1.34,0,1.34,0,5.35,0
3Month,0,0.32,0.64,0.32,0.32,0,0,0,0.32,0,0,0,0,0,0.32
22Month,0,0,3.28,0,0.55,0,0,0.55,0,0,0,0,0.55,0,0
