stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,12.26,0,0,0,0,0,0,0,4.09,0,8.17
72hpf,0,1.07,0,0,0,0,0,1.07,0,1.07,0
21Day,0,0,0,0,0,1.34,0,1.34,0,1.34,2.68
22Month,0,0,1.09,0.55,8.2,0,0.55,0,0,0,0
