stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,16.35,12.26,0,0,0,0,24.52,208.41,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,3.21,0,5.35,2.14,6.42,0,0,0,0,0,0,0,0,4.28,11.77,1.07,35.3,0,0,0,3.21,209.68,83.44,0,4.28,0,29.95,0,0,0,4.28,2.14,0,7.49,0,0,0
21Day,17.4,0,0,41.49,1.34,26.77,6.69,0,2.68,0,1.34,1.34,14.72,2.68,4.02,17.4,6.69,33.46,0,0,6.69,1.34,73.62,34.8,0,4.02,0,21.42,8.03,0,5.35,4.02,1.34,1.34,0,1.34,0,0
3Month,0,2.88,0.64,28.16,0,0,0.96,4.48,6.08,0.32,28.16,4.16,0.96,8.64,2.56,5.76,7.36,10.24,3.84,0,1.92,1.92,1.28,0.32,1.6,1.28,0,0.64,0.64,0.32,20.48,0,0,0,0,4.8,5.44,6.08
22Month,1.09,7.65,2.73,15.85,0.55,0,2.19,2.19,15.85,11.48,89.65,4.92,4.92,16.95,1.09,1.09,13.67,11.48,0,6.01,1.64,2.73,4.37,0.55,1.64,3.28,1.09,1.09,1.09,0,5.47,1.64,2.19,0,0,0,0,3.83
