stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.73,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,11.77,0,0,0,0,0,0,0,0,0,0,0,488.89,13.91,1.07,5.35,0,0,0,2.14,16.05,13.91,0,0,0,4.28,0,0,1.07,0,0,0,0,0
21Day,16.06,0,20.08,641.16,20.08,0,4.02,0,0,1.34,0,2.68,4.02,10.71,9.37,1481.76,60.23,9.37,26.77,0,0,6.69,1.34,26.77,26.77,1.34,0,0,13.39,17.4,0,5.35,2.68,4.02,0,0,4.02
3Month,0,0.96,8,540.07,0,1.92,0.32,0,7.68,5.12,0,15.04,3.52,0.32,14.08,97.26,22.4,6.4,10.88,0.96,0,1.92,42.23,1.6,0,3.52,0.32,0,0.32,6.08,4.16,0,0,0,2.56,1.92,5.12
22Month,0.55,2.73,246.54,160.17,0,1.09,0,0.55,24.05,8.2,4.92,41,1.64,0,14.21,241.62,14.76,2.73,6.56,0,0.55,9.29,0,1.09,0.55,4.92,0,0.55,0,0.55,1.64,0,0.55,0,0.55,0,0.55
