stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,3.21,4.28,0,0,2.14,1.07,0,0,0,0,0,0,0
21Day,58.9,6.69,5.35,66.93,41.49,10.71,2.68,0,4.02,1.34,1690.57,21.42,1.34,34.8,10.71,30.79,0,8.03,78.97,28.11,2.68,2.68,17.4,28.11,2.68,20.08,17.4,14.72,2.68,1.34,24.09
3Month,0,0,0,0,0,0,0,0,5.44,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0,0.55,0,0,0,0.55,2.19,0,0.55,1.09,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
