stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,2.14,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,0,0.32,1.92,0,0,0,0.32,1.28,0,3.2,0.32,1.28,0.64,1.28,0.64,0.96,0,0,0.32,0,0,0,0.32,0.32,0.96,0,1.28,0.64
22Month,1.64,0,2.73,0,0.55,0.55,0.55,3.28,4.37,41,0.55,6.01,0.55,0.55,1.09,3.83,1.09,0.55,0,0.55,0.55,0.55,0,0,0,0,0,1.09
