stage,Epithelial_cell,Immune_progenitor_cell,Neural_cell,Neural_progenitor_cell,Osteoblast
24hpf,0,0,0,4.09,0
72hpf,0,0,10.7,0,2.14
21Day,1.34,1.34,10.71,0,0
