stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,1.07,2.14,1.07,3.21,0,0,0,0,0,0,0,0,0,0,3.21,0,4.28,0,0,11.77,5.35,1.07,0,1.07,0,1.07,0,0,0
21Day,2.68,0,16.06,13.39,0,1.34,1.34,0,0,0,0,2.68,0,0,17.4,1.34,5.35,0,0,10.71,1.34,0,1.34,0,0,0,1.34,0,0
3Month,0,1.28,6.4,0,0.32,0,2.56,2.56,0,11.84,1.6,0,6.08,0.64,2.24,1.92,1.6,0,0.32,0.32,0,0,0.64,0.32,0.96,0.32,0,0.96,0.96
22Month,0,1.09,7.11,0,1.09,0,0,1.09,1.09,42.09,0.55,0.55,9.29,0.55,0.55,3.83,2.19,0.55,0,0.55,0,0,0.55,0,0.55,0,0,0,1.09
