stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,0,2.14,0,0,0,0,0,0,0,0,0,3.21,0,3.21,0,1.07,0,0,4.28,4.28,0,2.14,0,0,0,1.07,0,0,0
21Day,5.35,1.34,12.05,0,4.02,0,4.02,0,0,0,0,1.34,0,0,0,1.34,5.35,0,0,1.34,0,2.68,2.68,0,0,0,2.68,2.68,0,0,0,0
3Month,0,0,5.12,0.32,0,0.32,0,0.32,1.28,17.28,2.56,0.32,1.28,0.64,0.64,1.6,1.28,0.32,0,0.32,0.32,0.32,0,0,0.32,0.32,0.64,0,0,0.32,3.2,2.24
22Month,0.55,0,3.28,0,0,0,0,0.55,2.19,38.27,0.55,0.55,1.09,1.64,0,2.19,0,0,1.64,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0.55
