stage,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,5.35,0,0,0,0
21Day,0,0,1.34,0,0,0,0,1.34,1.34,10.71,1.34,0,0,0
3Month,1.28,0,0,3.52,0.32,0.96,0,0.64,0.32,0,0,0.32,0.32,0.96
22Month,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
