stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,1.07,1.07,0,0,0,0,0,0,0,0
21Day,0,21.42,1.34,0,1.34,0,0,0,0,0,8.03,0,1.34,1.34,1.34,4.02,0,6.69,1.34,0,0,2.68,0,0,0,0,1.34
3Month,0,8.96,7.04,0.32,0,8.32,0.32,0,4.16,1.28,73.27,0,0.32,1.28,1.6,46.39,0.64,0,0,1.28,0.32,0,0.32,1.28,0.32,1.28,0.64
22Month,0.55,7.65,4.92,0,0,9.29,1.09,2.19,11.48,0.55,150.33,0,0,1.64,0,18.59,0,0,0,1.64,0,0,0,1.64,0,0,0
