stage,Granulosa_cell,Hepatocyte,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell
24hpf,0,0,4.09,0,0
21Day,0,0,0,0,2.68
3Month,0,0.64,0,0.32,0
22Month,0.55,0.55,0,0,0
