stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,20.43,12.26,20.43,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,3.21,1.07,5.35,3.21,0,0,1.07,0,0,0,4.28,18.19,0,21.4,0,1.07,0,0,23.54,40.65,0,2.14,8.56,0,0,1.07,3.21,0,0,0
21Day,1.34,1.34,12.05,0,34.8,8.03,0,4.02,0,1.34,5.35,4.02,1.34,6.69,8.03,8.03,0,0,0,0,9.37,8.03,1.34,0,4.02,1.34,0,4.02,2.68,0,0,2.68
3Month,0,0,1.28,0.32,0,0,0.32,0.32,1.6,1.28,0,2.56,0,1.6,0.32,1.28,0.32,0,0.64,0.32,0.32,0,0,0,0,0,7.36,0,0,0.32,2.24,1.6
22Month,0,0,3.83,0,0,0,0,3.28,12.03,0.55,0,29.52,0,0.55,4.37,6.56,1.09,0.55,0,0.55,0,0,0,0.55,0.55,0,0,0.55,0,0.55,0,1.09
