stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,4.28,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,1.34,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0
3Month,1.6,1.92,24,0.32,0.32,0,0.64,3.52,7.36,40.63,11.52,1.28,12.16,4.16,7.04,10.24,7.68,0.64,2.56,3.52,4.16,0.96,0.96,0.96,0.64,8,210.53,0.96,0.32,3.84,2230.05,5.44
22Month,0.55,0,1.09,0,0,0,0,0,0.55,0.55,0,0,2.19,0,0.55,0,0.55,0,0,0,0.55,0,0.55,0,0.55,0,85.28,0,0,0,9.84,0.55
