stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,4.09,0,0,0,24.52,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,1.07,2.14,0,2.14,0,0,2.14,6.42,0,3.21,0,0,0,0,0
21Day,0,0,2.68,2.68,1.34,0,0,0,1.34,0,2.68,1.34,1.34,0,0,0,0,1.34,0,1.34,0,1.34,0,0,0,0,0
3Month,0,0.32,5.44,0,0,2.24,1.28,0,11.2,1.92,0,2.88,0.32,1.6,1.28,1.92,0.32,0.64,0,0,0,0,0.64,3.2,0.32,0.32,1.28
22Month,0,0.55,2.73,0,0,0,1.09,0,22.41,0.55,0,1.09,0.55,0,1.64,0,0,0,0,0,0.55,0,0,1.09,0.55,0,0.55
