stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,4.09,12.26,4.09,0
72hpf,0,0,0,0,0,1.07,0,0
3Month,0.64,0,0.64,0.32,0,0,0,3.52
22Month,0,1.09,1.09,3.28,0,0,0,4.37
