stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,0,3.21,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0.32,0.32,2.24,0.32,0.64,0,5.44,0.32,0,8.64,0.96,0,0.96,0,0,0.64,0.64,0.32,1.28
22Month,0,0,0,0,0,0.55,1.09,4.92,0,0,5.47,0,0,0.55,0,0.55,0,0,0,0
