stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,0,24.52,0,4.09,0,0,0,0,0,8.17,0,0,0,0,8.17,0,16.35,32.69,0,0,8.17,400.47,4.09,0,24.52,0,0,0,0,0,4.09,0,0,0
72hpf,5.35,5.35,0,7.49,1.07,3.21,0,0,0,0,0,0,0,0,1.07,0,0,3.21,1.07,21.4,0,0,86.65,71.68,0,5.35,24.61,0,0,21.4,4.28,0,0,0,0,0
21Day,36.14,5.35,2.68,53.54,6.69,12.05,0,13.39,0,1.34,0,0,1.34,0,22.76,1.34,2.68,37.48,8.03,53.54,0,2.68,48.19,52.2,1.34,4.02,48.19,12.05,0,4.02,2.68,6.69,1.34,0,0,4.02
3Month,0,0.32,0,8,0,0,0.32,0,0.32,0,0,0,0.96,0.32,1.28,0.64,0,0.32,2.24,0.64,0,0.32,0,0,0.32,0,0,0,2.56,0,0,0,0,0.32,1.6,2.56
22Month,0,0.55,0,1.64,0,0,0,0,0,2.73,2.73,0,12.57,2.19,0.55,0,0.55,1.09,4.92,2.73,0.55,0,0,0,0.55,0,1.09,0,1.09,0,0.55,0,0,0,0,1.09
