stage,Epithelial_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,T_cell
21Day,0,0,0,0,0,0,0,1.34,0
3Month,0,0.64,0,0,0,0,0,0,0
22Month,0.55,13.12,0.55,0.55,0.55,1.09,0.55,0,0.55
