stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,0,0,0,4.09,69.47,0,0,0,0,0,0,0
72hpf,5.35,1.07,19.26,1.07,0,0,0,0,0,0,4.28,0,0,0,1.07,1.07,10.7,0,0,0,0,26.74,37.44,23.54,0,0,0,0,0,0
21Day,0,0,20.08,6.69,0,0,0,0,0,4.02,2.68,0,1.34,0,0,1.34,8.03,0,0,13.39,0,1.34,4.02,24.09,0,0,0,0,0,0
3Month,0,0,4.48,0,0,0,0.32,0.64,1.6,0.32,6.08,0.32,0,0.32,2.24,0.64,9.28,1.92,0,0.64,0.64,0,0,0,0.64,11.84,0,0.96,1.28,0
22Month,0,0.55,7.11,0,2.73,8.2,0,0,2.73,6.56,19.13,1.09,0.55,0,0.55,3.28,8.2,0.55,3.83,0,0,0,9.84,0,0,4.92,0.55,0,0,1.64
