stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,1.07,9.63,8.56,0,0,0,2.14,0,0,0,0,0,0
21Day,4.02,0,0,2.68,0,4.02,1.34,0,0,0,0,0,1.34,0,1.34,5.35,0,5.35,0,0,6.69,1.34,0,0,0,1.34,1.34,1.34,1.34,0,0,0
3Month,0.32,0,0,3.84,0,0,0,1.92,1.92,0,5.76,1.28,0.64,3.2,0,1.28,2.88,2.56,0,0,0,0,0.32,0,0,0,0.32,24,0,0,1.6,1.6
22Month,0,6.01,1.09,5.47,0.55,0,0,1.09,25.15,3.28,51.39,3.28,0.55,6.01,0,1.09,6.01,7.11,2.19,2.19,0,0,0.55,0.55,0.55,1.09,0,0.55,0,0.55,0,3.28
