stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,4.09,57.21,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,3.21,1.07,0,1.07,0,6.42,0,0,21.4,24.61,0,0,0,4.28,0,0,0,6.42,0,0,0,0,0
21Day,0,0,0,2.68,0,2.68,0,0,0,0,5.35,0,1.34,0,0,1.34,0,6.69,0,0,1.34,1.34,13.39,12.05,0,0,0,2.68,0,0,2.68,4.02,1.34,0,0,0,0
3Month,1.28,2.88,12.16,38.39,0.96,0,7.68,7.04,5.76,0.64,2789,14.4,2.24,60.47,7.36,9.6,9.28,31.04,8,6.4,7.04,18.24,0.96,0.32,13.12,3.52,0,1.92,41.59,0.96,6.72,3.2,0,0.96,5.76,4.16,6.4
22Month,2.73,6.01,6.01,31.16,0,0,19.68,6.56,12.03,5.47,5980.95,4.37,6.01,107.69,0.55,1.09,8.75,29.52,3.28,296.29,4.37,1.09,2.19,0.55,10.93,8.75,4.37,0.55,11.48,0,5.47,6.56,1.09,0,1.64,0.55,7.11
