stage,Epithelial_cell,Epithelial_cell__Brain_,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,4.09,0,0,0,4.09
72hpf,0,0,1.07,1.07,10.7,1.07
21Day,0,0,0,1.34,25.43,2.68
