stage,Erythrocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,4.09,0,12.26
72hpf,0,1.07,1.07,1.07,2.14
21Day,1.34,0,0,0,0
