stage,Epithelial_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Pancreatic_macrophage,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,2.14,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,1.6,0.96,1.28,0.64,1.28,0.32,0.64,0.32,0.32,6.72,1.92,1.28
