stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,0,0,0
72hpf,0,0,0,0,0,1.07,0,0,10.7,1.07,0,0,0
21Day,0,1.34,2.68,0,0,1.34,1.34,5.35,34.8,1.34,1.34,2.68,10.71
3Month,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0.55,0,0,0,1.09,0,0,0,0,0,0,0,0
