stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mt_rich_cell,Pancreatic_cell,Radial_glia
72hpf,0,0,0,0,0,1.07,0,0,0,0
21Day,0,1.34,0,1.34,0,0,1.34,0,0,0
3Month,0,0.32,0,0,0.64,0,0.64,0,0,0
22Month,1.09,1.09,0.55,20.23,1.64,0,0,0.55,1.09,0.55
