stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,4.09,4.09,8.17,32.69,0,0,0,16.35,49.04,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,0,0,0,0,0,0,0,1.07,3.21,0,2.14,1.07,0,0,8.56,12.84,2.14,0,0,1.07,0,1.07,0,0
21Day,0,0,0,16.06,1.34,1.34,0,0,0,0,1.34,0,1.34,6.69,4.02,10.71,0,2.68,1.34,4.02,16.06,8.03,0,0,0,1.34,0,1.34,0
3Month,0.32,0.32,0,1.92,0,0,0.32,0.64,3.84,0.32,0,1.6,0.32,0.32,1.6,0.64,0,0.32,0.32,0,0,0,0.32,1.92,0,0,0,0,0.32
22Month,0,0.55,0.55,2.73,0,0,0,0.55,10.93,0.55,0,1.64,0,0,1.64,0.55,0,0,0,0,0,0,0,0,0,0,0,0.55,0
