stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,2.14,1.07,3.21,0,0,0,1.07,2.14,1.07,0,96.28,7.49,1.07,0,2.14,0,0,0,0
21Day,0,2.68,0,1.34,0,1.34,0,1.34,0,0,29.45,6.69,4.02,1.34,0,1.34,0,0,0
3Month,0,1.6,0,4.8,0.32,0.64,0.32,0.64,0.32,0.64,0,0.32,0,0.64,0,0,0.32,0.32,1.28
