stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte
24hpf,0,4.09,0,24.52,0,0,0,0,0,0,0,4.09,0,4.09,16.35,0,0,0,0,8.17,20.43,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.49,1.07,0,0,0,1.07,0,0,1.07,6.42,0,1.07,0,2.14,0,0,1.07,2.14,0,0,2.14,0,0,1.07,0,0
21Day,0,0,1.34,56.22,0,1.34,0,0,0,1.34,0,6.69,14.72,0,2.68,0,0,0,0,1.34,4.02,0,0,1.34,4.02,0,0,0,0
3Month,0,0,0,25.6,0,0,0.64,0,18.56,0,0,3.84,7.36,1.92,0,0.96,0.32,0.96,0.32,0,0,0,0,0,0.32,10.56,0,0.32,1.92
22Month,0.55,0.55,0,2.73,0,0,3.28,1.64,48.65,0,0.55,0,2.73,2.73,2.73,0,4.37,0,0,0,0,0.55,1.09,0,0,2.19,0.55,0,0
