stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,16.35,0,0,0,0,0,0,0,28.6,0,0,0,0,0,4.09,0,0
72hpf,0,0,8.56,1.07,0,0,0,2.14,1.07,21.4,11.77,0,1.07,0,0,6.42,1.07,0,0
21Day,0,0,9.37,1.34,0,0,0,1.34,0,2.68,4.02,0,0,1.34,0,0,0,0,0
3Month,0,0.32,2.24,0,0.96,0.32,0.64,6.08,0,0,0,0,0,0,0.32,0,0,0.32,0.32
22Month,0,0,1.64,0,3.28,0,0,0.55,0,0,0,0.55,0,0,0,0,0.55,0,0
