stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,0,0,0,28.88,1.07,0,1.07,0,0,1.07,4.28,4.28,1.07,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,12.05,2.68,1.34,0,1.34,0,0,1.34,2.68,1.34,0
3Month,0.32,0,0.64,0,2.56,0.64,0,0.32,0,0,0,0.32,0,0,0.32,0,0,1.6,0,0,0,0,0.32
22Month,0,0.55,0.55,0.55,11.48,0,0.55,0,0,0,0.55,0,0,0,0,0,0.55,0.55,0,0,0,0,0.55
