stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,0,0,7.49,18.19,0,0,1.07,1.07,0,2.14,0,1.07,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,5.35,4.02,0,0,1.34,0,0,0,9.37,61.57,0,0,0,0
3Month,0.64,0.96,8.32,26.56,0.32,2.88,7.68,7.68,0.32,2345.55,6.4,1.6,31.36,4.48,6.72,4.8,8.64,0.96,4.48,3.84,4.16,1.6,1.92,1.6,1.6,0.32,30.08,18.56,0.96,0.32,0,0.64,7.36,12.8,6.72
22Month,0,1.09,0,0.55,0,0,0,0,0.55,36.63,0.55,0,0.55,0,0.55,0.55,2.19,0,2.19,0.55,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0
