stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,40.86,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,0,0,3.21,4.28,10.7,0,0,0,0,0,0,0,1.07,12.84,2.14,16.05,0,0,0,832.3,63.12,0,7.49,19.26,1.07,1.07,10.7,0,0,2.14,0,0,0
21Day,17.4,1.34,5.35,28.11,1.34,61.57,0,0,0,5.35,1.34,8.03,0,5.35,17.4,4.02,50.86,0,4.02,0,1535.3,36.14,2.68,8.03,10.71,44.17,0,20.08,8.03,10.71,2.68,1.34,0,10.71
3Month,0,0.64,0.64,4.48,0.32,0,0.96,1.28,0,11.84,1.28,0.64,3.84,0.64,4.48,1.28,0.96,0.32,0.96,0.64,86.39,0.64,1.6,0.64,0.32,0.64,1.92,0.64,0,0,0,0.64,0.32,1.28
22Month,0,1.64,0.55,4.92,0,0,0.55,4.92,1.64,70.52,1.64,0.55,12.03,0,1.64,4.37,4.37,3.83,1.64,0,117.53,1.09,1.09,4.92,1.09,0.55,2.19,10.39,1.09,0,0,0,0,0.55
