stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,65.38,0,0,0,220.67,0,0,0,0,8.17,0,0,4.09,0,0,0,12.26,32.69,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,13.91,4.28,0,5.35,3.21,4.28,0,0,0,0,0,1.07,4.28,19.26,4.28,16.05,0,0,0,1512.68,40.65,0,0,17.12,1.07,0,6.42,431.13,318.8,0,0,1.07
21Day,5.35,6.69,1.34,21.42,1.34,14.72,0,0,1.34,1.34,2.68,2.68,1.34,4.02,2.68,25.43,0,2.68,0,117.79,17.4,0,1.34,5.35,8.03,0,4.02,410.93,983.82,2.68,0,5.35
3Month,0,0.32,0,0.64,0,0,0.64,0,1.28,0,0,0,0.32,0,0.96,0.64,0,0,0.64,0.64,0,0.32,0,0.32,0,2.88,0,3.52,1.28,0,0.32,0
22Month,0,1.09,0,3.28,0,0,2.73,0,13.67,1.09,0,2.73,0,0,3.28,1.09,0.55,0.55,0,0,0,0,0,0,0.55,4.37,1.09,315.42,0.55,0,0,0
