stage,Epithelial_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Spermatocyte,T_cell
3Month,4.16,0.32,0,2.24,0.64,0.64,0.32,0.32,0.32,0.32,0.32
22Month,0,0,2.19,1.09,0,0,0,0,0,0,0
