stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Nephron_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,24.52,0,0,0
72hpf,0,0,1.07,0,2.14,0,1.07,0
3Month,0.64,1.92,0.64,0.96,0,11.84,0,4.16
