stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,20.43,8.17,8.17,0,0,0,0,0,65.38,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,0,1.07,1.07,0,0,0,0,0,0,1.07,0,0,5.35,0,2.14,0,0,0,0,10.7,4.28,0,0,1.07,0,0,2.14,1.07,0,0,0
21Day,5.35,1.34,0,6.69,2.68,13.39,4.02,0,1.34,0,0,1.34,1.34,1.34,1.34,1.34,4.02,1.34,13.39,0,0,1.34,0,10.71,8.03,1.34,0,4.02,0,0,1.34,0,0,0,1.34
3Month,0,0.32,0.32,6.4,0,0,0.64,0.32,1.28,1.6,0,14.72,1.6,0.32,3.2,0.64,3.84,3.52,1.6,0.96,0,0.64,0.32,1.6,0,0.32,0.32,0,0.64,7.36,0,0,0.64,19.2,2.24
22Month,0,0,0,2.19,0,0,0,0,0,2.73,1.09,17.49,1.09,1.64,0.55,0.55,0,6.01,1.64,0,0.55,0.55,0.55,0,0,0,0,0,0,3.28,0,0,0,0,1.64
