stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,24.52,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,8.17,16.35,49.04,0,0,0,16.35,130.76,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,4.28,5.35,13.91,4.28,2.14,0,0,0,0,0,0,0,0,0,0,1.07,68.47,9.63,40.65,0,1.07,0,17.12,18.19,1.07,0,0,36.37,0,0,10.7,0,3.21,7.49,0,0,0
21Day,6.69,1.34,36.14,8.03,4.02,0,6.69,0,0,0,0,1.34,0,1.34,0,8.03,17.4,22.76,36.14,0,4.02,0,4.02,6.69,0,0,0,14.72,0,1.34,0,0,6.69,1.34,0,0,0
3Month,0.64,11.2,38.71,3.52,0,0,0.32,1.6,30.72,0.32,0,6.08,2.56,0.64,0.96,7.04,12.48,30.08,16.64,6.4,0.96,5.44,0.96,0,1.92,0.96,0,1.28,0.64,17.28,0,0.32,0,0.32,4.8,7.68,0.96
22Month,0,16.4,16.4,0.55,0,2.19,0.55,1.64,130.1,23.51,0,22.96,2.73,2.19,3.28,1.09,3.83,84.73,16.95,0.55,0.55,0,0.55,0.55,1.64,0,0.55,1.09,0,5.47,0,1.09,0,0.55,1.09,0,0
