stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,44.95,0,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,2.14,0,0,0,0,0,0,0,0,2.14,1.07,5.35,0,0,3.21,5.35,0,5.35,0,0,3.21,0,0,0,0
21Day,2.68,0,5.35,0,0,0,0,0,1.34,10.71,0,0,0,1.34,6.69,0,2.68,2.68,6.69,2.68,5.35,0,0,0,1.34,0,0,5.35
3Month,0.32,2.24,4.16,0,0.64,0.96,1.92,1.6,2.88,0.64,0.32,0.64,0.64,2.56,1.92,0.32,2.24,0.64,0,0.64,0,0.32,1.6,0,0,0.64,0.64,10.56
22Month,0,4.92,3.28,0,0,0,2.73,7.65,1.09,0,1.09,0,0.55,2.19,6.01,0,0.55,0,0,0.55,0,0,0,0,0,0,0,3.83
