stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,0,0,2.14,5.35,0,1.07,0,0,0,0,3.21,4.28,0,1.07,1.07,0,0,0,0,0,0
21Day,1.34,0,0,4.02,0,0,4.02,0,0,0,0,0,1.34,0,1.34,1.34,1.34,0,0,0,1.34,0,6.69,0,0,1.34,1.34,0,0,0,0,0,4.02
3Month,0,1.92,0.32,31.67,0,0.64,0.32,3.84,5.44,0,12.16,2.88,0.64,14.08,1.28,11.52,4.48,5.44,1.92,0,0.32,0.64,1.28,0.64,1.28,0.64,0.64,2.88,0.32,0.32,3.84,1.6,7.36
22Month,1.64,0.55,1.09,5.47,0.55,0,0,1.09,7.65,1.09,32.8,3.28,4.37,10.39,0.55,0,3.83,5.47,0,0.55,0,0.55,0.55,0,0,0.55,0.55,0.55,0.55,0,0,0,1.64
