stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,12.26,0,0,89.9,65.38,0,0,0,0,0,0,0,0,0,0,0
72hpf,8.56,1.07,0,12.84,0,6.42,0,0,0,0,0,0,0,2.14,10.7,0,16.05,2.14,0,863.32,39.58,0,2.14,23.54,0,0,7.49,0,0,4.28,0,0
21Day,10.71,0,0,41.49,0,4.02,1.34,0,0,2.68,0,2.68,0,0,12.05,12.05,9.37,0,4.02,329.28,5.35,28.11,0,5.35,8.03,0,1.34,1.34,9.37,0,0,2.68
3Month,0.32,0.32,0,6.72,0,0,0.96,0.64,0,3.2,2.56,0,1.92,0,1.28,2.56,2.24,0,0.32,14.08,0,97.9,0.32,0,0.96,2.24,0,0,0,0,0.64,0.96
22Month,0,0,0.55,2.19,0.55,0,4.92,0.55,1.09,6.56,0.55,0,0.55,0,0,0.55,0.55,0.55,1.64,7.65,0,110.42,0,0,0,3.28,0,0,0,0,0,0
