stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,40.86,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,2.14,0,0,0,2.14,0,0,0,0,0,0,1.07,16.05,5.35,0,0,1.07,0,2.14,2.14,0,2.14,0,0,0,0,0,0,0,0
21Day,1.34,5.35,2.68,0,0,0,0,2.68,0,1.34,0,12.05,0,1.34,0,16.06,33.46,0,0,0,0,1.34,1.34,0,2.68,1.34,0,0,0,2.68,0,0,24.09
3Month,0,6.72,4.48,0,0,0,1.6,47.35,0.32,6.08,111.66,3.2,2.24,2.24,1.6,31.36,22.72,5.76,0,3.2,1.28,0.32,0,0.64,1.92,0.64,0.32,0.64,0.96,0,1.28,1.6,76.47
22Month,0,3.83,2.19,0,1.64,0.55,1.09,92.93,1.09,11.48,53.03,7.11,1.64,0,0,41.55,17.49,0,0.55,0.55,0,0,0,0,1.09,0.55,0,1.09,0,0,0,0,61.77
