stage,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
21Day,1.34,1.34,2.68,0,1.34,0,0,22.76,0,0,5.35,1.34,0,1.34,1.34,1.34,0,1.34,1.34,12.05
3Month,1.92,0,0.64,0.32,1.92,1.92,1.28,4.48,0.32,0.64,4.16,0.96,0.32,0,0,0.32,0.96,0,0,27.52
22Month,0,0,0,0,0.55,4.37,0.55,1.09,0.55,0,0.55,1.64,0,0,0,1.09,0,0,0,12.57
