stage,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell
24hpf,0,0,0,0,0,0,4.09,0,4.09,0
21Day,0,0,0,0,0,1.34,0,0,0,1.34
22Month,1.64,4.92,0.55,1.09,0.55,0,0.55,0.55,0,0
