stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,6.42,1.07,0,0
21Day,4.02,1.34,0,0,0,0,0,1.34,0,2.68,0,0,0
3Month,0.32,0,0,0.96,0,0.32,0.32,0.64,0,0,0,0.64,0.32
22Month,0.55,0,0.55,1.64,0.55,0,0,0.55,0.55,0,0,0,0.55
