stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,49.04,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,1.07,0,0,0,0,0,0,2.14,0,0,0,2.14,1.07,1.07,0,0,2.14,2.14,0,0,0,2.14,0,0,0,0,0,0,0
21Day,1.34,1.34,2.68,0,0,9.37,0,0,0,0,0,0,5.35,0,0,0,1.34,4.02,0,0,0,0,0,0,0,0,1.34,0,0,1.34,1.34,0,0,1.34
3Month,2.24,0,2.88,0,0.32,0.64,0.96,7.68,0,0,14.08,3.52,1.28,2.24,0.32,0.32,4.8,1.6,0,0.64,0,0,0,0.32,0,0,0,0.32,1.28,0,0,0,0.64,13.12
22Month,7.65,3.28,7.65,0,1.09,1.09,1.09,12.03,1.64,0,528.07,3.83,1.09,2.73,0.55,0,8.2,3.83,2.73,1.09,0.55,0,0,0,1.64,0.55,0,0,1.09,0.55,0,1.09,0,4.92
