stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,4.09,4.09,12.26,0,0,0,0,0,0,0,4.09,20.43,65.38,0,12.26,445.42,0,0,0,0,0,0,0,0
72hpf,3.21,0,3.21,1.07,1.07,0,0,1.07,0,3.21,2.14,0,6.42,1.07,44.93,29.95,4.28,0,0,3.21,0,0,1.07,0
21Day,2.68,0,0,0,0,2.68,0,1.34,0,0,1.34,1.34,14.72,0,10.71,9.37,1.34,1.34,0,2.68,1.34,1.34,0,0
3Month,0,0,0.96,0,0,1.6,0.32,0,0.32,0,0.64,0.32,0.64,0,0,0,0,0,0.96,0,0,0,0,0.64
