stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,24.52,0,0,0,0,0,0,0,4.09,0,0
72hpf,9.63,0,0,12.84,1.07,6.42,1.07,0,0,0,0,0,0,0,1.07,20.33,1.07,11.77,0,1.07,2.14,1988.74,74.89,0,18.19,0,0,7.49,32.09,18.19,34.23,0,0
21Day,2.68,0,1.34,14.72,0,13.39,1.34,1.34,0,0,1.34,0,4.02,0,0,0,1.34,14.72,0,0,0,495.26,13.39,1.34,2.68,9.37,0,0,1.34,4.02,0,0,2.68
3Month,0,0,0.32,2.24,0,0,0,0,0.32,0,7.68,1.6,0,0.64,0.32,2.24,0.64,1.92,0.32,0,0.64,2.24,0.32,0,0.32,0.32,2.88,0.32,0,0,0.64,2.56,1.92
22Month,0,3.28,1.64,4.92,0,0,0.55,0.55,3.83,1.64,34.44,1.09,0,4.37,1.64,0,4.37,5.47,0.55,1.64,0.55,3.83,0,1.09,0,0,12.57,0,0,0,0,0,1.09
