stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0
72hpf,0,0,3.21,0,0,0,0,0,0,0,33.16,1.07,4.28,0,56.7,7.49,0,4.28,6.42,0,0,0,0
21Day,2.68,0,2.68,1.34,0,0,0,0,0,0,1.34,1.34,10.71,1.34,44.17,5.35,0,4.02,1.34,0,1.34,2.68,0
3Month,0,0,0.32,0,0.32,0,0,0,0.64,0.32,0.32,0,1.6,0.32,0.32,0,0,0,0,0.32,0,0,0.32
22Month,0,0.55,0.55,0,0.55,3.28,7.65,0.55,0,0,0,0,3.83,1.09,1.09,0.55,0.55,1.09,0,1.64,0,0,0
