stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,3.21,0,0,3.21,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,2.68,0,0,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0.64,7.68,0.96,11.84,0.32,0,0.64,0.32,0.64,4.48,0,8,1.92,1.6,8.96,0.96,4.16,3.2,26.24,6.4,0,4.16,2.24,1.6,0.32,0.96,0.32,1.6,0.64,10.56,0.96,0.64,8,8,7.04
22Month,0.55,3.83,0,2.19,0,0.55,0,0,1.09,0.55,10.93,11.48,2.19,0,9.29,0,0,1.09,6.56,0,0.55,0.55,0,0,0,0.55,0.55,0.55,0,0,3.28,0,0,0,1.64
