stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Oligodendrocyte
72hpf,0,0,0,0,1.07,0,3.21,0
21Day,0,2.68,0,0,0,0,4.02,0
3Month,0,0.64,0.96,0.32,0.64,0,0.96,0
22Month,0.55,1.09,6.56,0,0,0.55,2.19,0.55
