stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,0,2.14,0,0,0,0,0
21Day,0,0,6.69,1.34,0,0,0,0,0,0,0,1.34,0,0,0,0,0,1.34,1.34,0,0,0,0,0
3Month,0.64,0.32,5.76,0,1.6,2.88,2.24,1.92,0.64,6.4,0.64,1.92,2.56,1.28,0.64,0.32,0.64,0.32,0,0.64,0,0.32,0.64,2.24
22Month,1.09,1.09,1.09,0,0,5.47,4.37,2.19,0.55,7.65,0,0,1.09,0.55,0,1.09,0,0.55,0,0.55,0.55,0,0,0
