stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0
72hpf,2.14,0,0,1.07,0,0,0,0,2.14,0,0,4.28,0,1.07,0,0
21Day,0,0,2.68,0,1.34,0,1.34,0,0,0,1.34,5.35,2.68,0,1.34,1.34
3Month,0,0.32,0,0,0,0.64,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0.55,2.19,0,0,0,1.09,0,0,0,0,0,0
