stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,1.07,0,0,0,0
3Month,0.32,0.96,0,0.32,0.32,1.28,0,0.96,0.32,0,0.64,0,0,0.32,0,0
22Month,0,0,0,0,0,2.73,0.55,0,0,2.19,0.55,0,0,0,0.55,0.55
