stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,1.07,0,3.21,0,0,6.42,4.28,0,1.07,0,2.14,0
21Day,0,1.34,1.34,1.34,0,0,0,0,1.34,2.68,0,1.34,0,1.34,1.34,2.68,0,2.68,0,1.34,0
3Month,0,0,0,0,0.32,0.32,0,1.28,0.32,0.32,0,0,0,0,0,0.32,0,0,0.64,0.32,0.32
22Month,0,0,1.09,0,0,1.09,1.09,3.28,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0,0.55,0,0,0,0
