stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,4.09,0,0,4.09,0,4.09,32.69,0,0,0,0,4.09,20.43,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,2.14,7.49,1.07,0,0,1.07,0,4.28,4.28,1.07,0,0,0
21Day,0,2.68,0,0,1.34,0,0,0,0,1.34,0,1.34,8.03,4.02,0,0,0,4.02,5.35,0,0,0,0
3Month,0.64,0.64,0.32,0.32,6.4,0,0,0.32,1.92,0,0,0,4.48,0.96,0.32,0,0,0.32,0,0,0.32,0.64,0.32
22Month,0,0.55,0.55,0,6.01,1.09,0,6.01,0.55,0,0,0,4.37,1.09,0,0.55,0.55,0,0,0,0,0,0.55
