stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,16.35,0,0,0,0,0,0,0
72hpf,3.21,3.21,1.07,0,0,0,1.07,4.28,0,1.07,257.82,16.05,0,1.07,1.07,0,0,1.07,0
21Day,0,4.02,1.34,0,0,0,0,0,0,1.34,81.65,1.34,0,0,2.68,1.34,0,1.34,1.34
3Month,0,0.64,0,0.32,1.92,0,0,0,0,0.32,0,0,0.64,0,0,0,0.64,0,0
22Month,0,0,0,0,7.11,0.55,0,0,0.55,1.09,0,0,0.55,0,0,0.55,1.64,0,0
