stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,8.17,0,0,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,2.14,1.07,3.21,0,0,0,0,0,0,0,0,0,0,0,19.26,0,3.21,0,0,0,0,41.72,19.26,3.21,0,12.84,0,0,3.21,0,0,0,0,0
21Day,5.35,0,9.37,2.68,8.03,0,5.35,0,0,0,0,2.68,0,2.68,0,2.68,8.03,5.35,5.35,1.34,0,1.34,0,9.37,2.68,0,0,5.35,4.02,0,0,1.34,1.34,1.34,0,1.34
3Month,0,0.96,4.8,0,0,0.32,0.64,0,3.84,0,0,12.8,0.64,0.64,1.6,0.32,1.92,1.92,1.28,0,0,1.28,0.96,0,0,0.64,0,0,0.64,2.88,0,0,0,0.32,0.32,0.64
22Month,0,1.64,2.73,0.55,0,0,0,0.55,1.64,1.64,1.64,51.39,0.55,3.83,3.28,0.55,0,1.64,1.09,1.09,0.55,0.55,0.55,0,0.55,0.55,0.55,0.55,0,0.55,0,0.55,0,0,0,0.55
