stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0
21Day,4.02,0,5.35,2.68,1.34,1.34,0,2.68,0,0,0,6.69,2.68,12.05,0,2.68,0,5.35,0,1.34,4.02,621.08,0,0,1.34,1.34,1.34,0,0
3Month,0.32,0.32,3.2,0,0.32,0,0,6.4,1.92,0.32,1.92,0.32,0.32,0.64,0.32,0.64,0.64,0,0.32,0,0,350.34,0.96,0.32,0,0,0,0.32,1.92
22Month,0,0,0,0,0,0,0.55,3.83,0,0,0.55,0,0,0,0,0,0,0,0,0,0,44.83,0,0,0,0,0,0,0
